customer_phone,apply_date_key,order_status_key,als_m12_id_nbank_orgnum,als_m3_id_nbank_min_inteday,als_m12_id_nbank_min_inteday,als_m12_id_nbank_week_orgnum,als_m12_id_min_inteday,als_d15_id_nbank_orgnum,als_m1_id_nbank_week_orgnum,als_m12_id_rel_orgnum,als_m12_id_cooff_orgnum,als_m12_id_bank_ret_orgnum,als_lst_id_nbank_consnum,als_m6_id_bank_min_inteday,als_d7_id_nbank_week_orgnum,als_m12_id_nbank_finlea_allnum,als_m12_id_bank_min_inteday,als_m12_id_af_orgnum,in_black_list,debt_pressure_index,model_risk_v7_stongyong_score,v6_seq_online,omriskscoregeneral,actual_age,gender,city_name,degree,card_num
cc92befb0e0b9f7ef4736f0fabc86821,2023-02-22,3,7.0,0.0,0.0,3.0,0.0,0.0,-9999.0,2.0,0.0,0.0,1.0,-9999.0,-9999.0,1.0,-9999.0,0.0,True,31.0,66.0,38.0,515.0,27.0,male,西安市,大学专科,1张
057331edd64b9002ddfc084e2d09b441,2023-03-25,2,2.0,-9999.0,60.0,0.0,25.0,0.0,-9999.0,2.0,0.0,0.0,1.0,-9999.0,-9999.0,0.0,-9999.0,0.0,,17.0,20.0,36.0,684.0,38.0,female,西安市,大学本科,3张
2d84b1d936cfc398062267ae3c88ba5e,2023-03-22,2,1.0,-9999.0,-9999.0,0.0,-9999.0,0.0,-9999.0,1.0,0.0,0.0,1.0,-9999.0,-9999.0,0.0,-9999.0,0.0,,18.0,12.0,21.0,893.0,52.0,female,西安市,大学专科,1张
524900208eb2c8843ced18b6c34eee4a,2023-03-22,3,2.0,-9999.0,19.0,1.0,14.0,0.0,-9999.0,1.0,0.0,1.0,1.0,-9999.0,-9999.0,0.0,14.0,0.0,,15.0,19.0,27.0,773.0,45.0,female,西安市,高中及以下,3张
66fcdc3a4b9f45ef280f28853a5a007d,2023-03-20,3,1.0,-9999.0,-9999.0,1.0,-9999.0,0.0,-9999.0,1.0,0.0,0.0,1.0,-9999.0,-9999.0,0.0,-9999.0,0.0,,24.0,27.0,33.0,729.0,37.0,male,延安市,大学专科,4张及以上
57d6c59f927e7bc6a976e7f0f86009bd,2023-03-20,6,1.0,-9999.0,-9999.0,0.0,228.0,0.0,0.0,2.0,0.0,0.0,1.0,-9999.0,-9999.0,0.0,-9999.0,0.0,,21.0,15.0,19.0,868.0,35.0,male,安阳市,大学专科,3张
2b015328ddaf201f7bde293abb2c0293,2023-03-18,3,,,,,,,,,,,,,,,,,,,26.0,33.0,804.0,60.0,female,咸阳市,高中及以下,1张
be4a6db891541f136bcb4cbe235563c6,2023-03-18,2,1.0,33.0,31.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,-9999.0,0.0,0.0,0.0,,22.0,49.0,36.0,626.0,32.0,male,u,高中及以下,4张及以上
a5478fdb79f8120ca6bca577b189a1a5,2023-03-18,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,-9999.0,0.0,0.0,0.0,,25.0,53.0,40.0,738.0,28.0,male,宝鸡市,大学专科,2张
b7e8f0a02bd1ca9c23a496e9b8db62dd,2023-03-09,3,0.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0,0.0,-9999.0,0.0,,13.0,64.0,46.0,635.0,51.0,male,西安市,,
